Instituicao;UF;Campus;AnoCriacaoCampus;MatriculaTotalPresencialEqualizada;MatriculaTotalEadEqualizada;MatriculaTotalEadMoocEqualizada;MatriculaTotalEadFpEqualizada
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS MANAUS ZONA LESTE;2009;5559.64639;1196.7315;;
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS MAUÉS;2010;1545.40831;;;
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS PARINTINS;2010;2468.84173;;;
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS PRESIDENTE FIGUEIREDO;2010;2057.61614;9.2905;;
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS SÃO GABRIEL DA CACHOEIRA;2009;1352.3663;;;5.85
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS TABATINGA;2010;1432.28804;13.9254;6.9;
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS TEFÉ;2016;1225.89155;43.3272;;
INSTITUTO FEDERAL DO AMAPA;AP;CAMPUS LARANJAL DO JARI;2010;2353.96288;1.87625;;125.3552
INSTITUTO FEDERAL DO AMAPA;AP;CAMPUS MACAPÁ;2010;5145.6946;4.46675;;140.233
INSTITUTO FEDERAL DO AMAPA;AP;CAMPUS OIAPOQUE;2016;225.35135;0;;26.8935
INSTITUTO FEDERAL DO AMAPA;AP;CAMPUS PEDRA BRANCA DO AMAPARI;2025;7.4;;;98.91895
INSTITUTO FEDERAL DO AMAPA;AP;CAMPUS PORTO GRANDE;2016;2285.15504;;;3.1
INSTITUTO FEDERAL DO AMAPA;AP;CAMPUS SANTANA;2015;1067.2496;31;;118.96615
INSTITUTO FEDERAL BAIANO;BA;CAMPUS ALAGOINHAS;2016;2183.53556;13.5584;;133.1077
INSTITUTO FEDERAL BAIANO;BA;CAMPUS BOM JESUS DA LAPA;2010;2462.16276;;;123.1363
INSTITUTO FEDERAL BAIANO;BA;CAMPUS CATU;2009;3118.21621;4.9425;;178.494
INSTITUTO FEDERAL BAIANO;BA;CAMPUS GOVERNADOR MANGABEIRA;2013;1735.7439;;;579.34675
INSTITUTO FEDERAL BAIANO;BA;CAMPUS GUANAMBI;2009;4315.57307;;;889.31475
INSTITUTO FEDERAL BAIANO;BA;CAMPUS ITABERABA;2016;2046.74228;;;137.78495
INSTITUTO FEDERAL BAIANO;BA;CAMPUS ITAPETINGA;2009;2033.2476;;;60.0396
INSTITUTO FEDERAL BAIANO;BA;CAMPUS SANTA INÊS;2009;3179.80212;;;242.53425
INSTITUTO FEDERAL BAIANO;BA;CAMPUS SENHOR DO BONFIM;2009;3079.78276;;;1711.4037
INSTITUTO FEDERAL BAIANO;BA;CAMPUS SERRINHA;2016;1625.57727;;;241.50455
INSTITUTO FEDERAL BAIANO;BA;CAMPUS TEIXEIRA DE FREITAS;2009;2094.41674;1.5842;;331.5172
INSTITUTO FEDERAL BAIANO;BA;CAMPUS URUÇUCA;2009;1545.92758;;;112.05555
INSTITUTO FEDERAL BAIANO;BA;CAMPUS VALENÇA;2009;2247.5219;;;103.7491
INSTITUTO FEDERAL BAIANO;BA;CAMPUS XIQUE-XIQUE;2016;970.71973;;;285.30825
INSTITUTO FEDERAL BAIANO;BA;CENTRO DE REFERENCIA DOIS DE JULHO;;;;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS AVANÇADO UBAITABA;2015;119.7984;5.8493;;72.70135
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS BARREIRAS;2009;1968.6356;12.3506;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS BRUMADO;2013;1357.1371;73.3925;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS CAMAÇARI;2009;1030.90475;162.56205;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS CAMPO FORMOSO;2024;24.1125;;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS EUCLIDES DA CUNHA;2015;910.91545;8.2908;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS EUNÁPOLIS;2009;1895.59325;;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS FEIRA DE SANTANA;2011;1452.7281;6.023;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS ILHÉUS;2011;1410.43445;582.09445;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS IRECÊ;2010;1354.0089;4.4286;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS JACOBINA;2011;1352.1378;;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS JAGUAQUARA;2024;42.0875;;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS JEQUIÉ;2010;1809.06505;;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS JUAZEIRO;2015;1028.72665;80.308;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS LAURO DE FREITAS;2016;1081.5134;;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS PAULO AFONSO;2010;1244.5067;85.4575;;3.2268
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS PORTO SEGURO;2009;1730.62365;;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS SALVADOR;2009;11165.90114;19.398;;207.962
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS SANTO AMARO;2009;1197.8117;8.013;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS SANTO ANTÔNIO DE JESUS;2016;776.43595;22.5;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS SEABRA;2010;811.83435;82.5;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS SIMÕES FILHO;2009;2805.4055;5.5078;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS VALENÇA TENTO;2009;2293.95885;;;
INSTITUTO FEDERAL DA BAHIA;BA;CAMPUS VITÓRIA DA CONQUISTA;2009;4150.85935;;;30.7745
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS ACARAÚ;2010;2249.46353;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS ACOPIARA;2017;714.60825;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS ARACATI;2010;2037.28271;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS AVANÇADO GUARAMIRANGA;2014;219.9733;;;106.0687
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS AVANÇADO JAGUARUANA;2014;349.6363;;;17.2529
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS AVANÇADO MOMBAÇA;2018;123.29365;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS BATURITÉ;2013;1202.55495;;;69.71895
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS BOA VIAGEM;2016;1119.84674;;;0
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS CAMOCIM;2013;1261.9247;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS CANINDÉ;2010;1897.44485;;;0
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS CAUCAIA;2013;2127.06075;;;42.8348
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS CEDRO;1995;2852.4634;;;30.9665
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS CRATEUS;2010;3393.7122;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS CRATO;1947;3710.84573;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS FORTALEZA;1909;11815.27556;0;;828.5711
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS HORIZONTE;2016;454.9182;;;116.64705
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS IGUATU;1955;3689.42624;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS ITAPIPOCA;2016;1481.38975;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS JAGUARIBE;2013;1189.59375;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS JUAZEIRO DO NORTE;1995;4880.99025;1048.121;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS LIMOEIRO DO NORTE;2008;3237.91804;;;44.12955
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS MARACANAÚ;2006;4355.08194;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS MARANGUAPE;2017;912.13551;110.8614;;105.6959
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS MORADA NOVA;2013;1003.10681;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS PARACURU;2016;828.67075;31.9974;;102.59325
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS PECÉM;2016;1352.63895;;;2.3606
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS QUIXADÁ;2008;2785.5244;;;63.9933
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS SOBRAL;2008;3939.4385;;;50.67435
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS TABULEIRO DO NORTE;2013;1182.4271;;;42.4525
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS TAUÁ;2013;1166.80727;;;
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS TIANGUÁ;2013;1618.56661;;;71.8078
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS UBAJARA;2013;1139.2715;;;10.625
INSTITUTO FEDERAL DO CEARA;CE;CAMPUS UMIRIM;2013;1574.07788;;;8.3169
INSTITUTO FEDERAL DE BRASILIA;DF;CAMPUS BRASÍLIA;2010;3344.64696;208.16375;;305.95905
INSTITUTO FEDERAL DE BRASILIA;DF;CAMPUS CEILÂNDIA;2013;2440.40925;;;617.5655
INSTITUTO FEDERAL DE BRASILIA;DF;CAMPUS ESTRUTURAL;2013;1718.1766;198.80175;;43.7908
INSTITUTO FEDERAL DE BRASILIA;DF;CAMPUS GAMA;2010;1964.7068;;;130.0019
INSTITUTO FEDERAL DE BRASILIA;DF;CAMPUS PLANALTINA;2009;4812.62169;495.7655;;346.13388
INSTITUTO FEDERAL DE BRASILIA;DF;CAMPUS RECANTO DAS EMAS;2018;1498.0405;443.4271;;10.6721
INSTITUTO FEDERAL DE BRASILIA;DF;CAMPUS RIACHO FUNDO;2013;2060.64774;148.43875;;
INSTITUTO FEDERAL DE BRASILIA;DF;CAMPUS SAMAMBAIA;2010;2246.1698;244.7302;;62.1942
INSTITUTO FEDERAL DE BRASILIA;DF;CAMPUS SÃO SEBASTIÃO;2013;1631.02535;283.62375;;26.19665
INSTITUTO FEDERAL DE BRASILIA;DF;CAMPUS TAGUATINGA;2010;2180.16865;333.987;;
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS ALEGRE;2009;3773.80039;;;24.06995
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS ARACRUZ;2009;2216.4273;;49.6375;0.15
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS AVANCADO VIANA;2014;;;;
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS BARRA DE SÃO FRANCISCO;2016;921.01759;;33.4625;0
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS CACHOEIRO DE ITAPEMIRIM;2009;2183.87155;23.2875;;149.7808
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS CARIACICA;2009;2506.92776;125.093;1.6125;0.1608
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS CENTRO SERRANO;2016;1039.42591;;;98.0506
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS COLATINA;2009;1717.81173;4.1215;6.1875;17.5662
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS GUARAPARI;2013;2029.0304;251.75375;1.425;51.4512
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS IBATIBA;2010;1852.60218;4.05;56.55;0.9324
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS ITAPINA;2009;3922.93401;7.2893;;6.4112
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS LARANJA DA TERRA;2023;;;;
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS LINHARES;2009;1832.42055;;39.4375;3.6058
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS MONTANHA;2014;1588.60431;;;62.7819
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS NOVA VENÉCIA;2009;1466.8387;32.3157;;60.469
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS PEDRO CANARIO;2023;;;;
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS PIÚMA;2013;2702.43232;582.08675;;36.6558
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS PRESIDENTE KENNEDY;2021;;;;
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS SANTA TERESA;2009;2933.38978;;;0
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS SÃO MATEUS;2009;1934.2552;14.1865;;
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS SERRA;2009;2489.82782;427.966;1.125;41.56585
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS VENDA NOVA DO IMIGRANTE;2013;2010.33966;;76.2;6.8311
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS VIANA;;462.18235;;;13.5899
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS VILA VELHA;2010;2921.53538;28.7471;;0.2542
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CAMPUS VITÓRIA;2009;7152.1267;902.46138;15.9753;542.76076
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;CENTRO DE REFERENCIA EM FORMACAO E EDUCACAO A DISTANCIA;;6;2472.0804;457.5045;866.33985
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS ÁGUAS LINDAS DE GOIÁS;2014;1195.23945;;;326.9421
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS ANÁPOLIS;2009;1893.90296;77.40575;;0
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS APARECIDA DE GOIÂNIA;2012;1862.45363;;;146.73195
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS CIDADE DE GOIÁS;2012;848.8037;18.6875;;
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS FORMOSA;2009;1414.1591;5.1474;;
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS GOIÂNIA;2009;7537.60593;1.65;;0.85
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS GOIÂNIA OESTE;2014;1385.22945;82.75735;;21.918
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS INHUMAS;2009;1126.92326;12.5625;;36.5214
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS ITUMBIARA;2009;1620.51611;10.7125;;
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS JATAÍ;2009;1689.35372;160.5552;;
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS LUZIÂNIA;2009;1807.10615;67.29385;;49.3625
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS SENADOR CANEDO;2014;1056.0369;163.9636;;
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS URUAÇU;2009;1114.4737;187.93785;;0.1683
INSTITUTO FEDERAL DE GOIAS;GO;CAMPUS VALPARAÍSO DE GOIÁS;2015;1816.40835;;;0
INSTITUTO FEDERAL GOIANO;GO;CAMPUS CAMPOS BELOS;2016;1578.18754;;;29.25
INSTITUTO FEDERAL GOIANO;GO;CAMPUS CATALÃO;2014;604.28435;35.1703;;11.125
INSTITUTO FEDERAL GOIANO;GO;CAMPUS CERES;2008;4114.04016;;;26.9925
INSTITUTO FEDERAL GOIANO;GO;CAMPUS CRISTALINA;2014;2583.49429;55.66575;;527.826
INSTITUTO FEDERAL GOIANO;GO;CAMPUS HIDROLÂNDIA;2014;1317.5056;723.363;;9.2916
INSTITUTO FEDERAL GOIANO;GO;CAMPUS IPAMERI;2014;475.2201;28.125;;161.9122
INSTITUTO FEDERAL GOIANO;GO;CAMPUS IPORÁ;2008;2192.08246;590.98745;;492.76495
INSTITUTO FEDERAL GOIANO;GO;CAMPUS MORRINHOS;2008;3274.87808;66.7535;;27.241
INSTITUTO FEDERAL GOIANO;GO;CAMPUS POSSE;2015;2245.08911;;;32.625
INSTITUTO FEDERAL GOIANO;GO;CAMPUS RIO VERDE;2008;5744.32418;;;
INSTITUTO FEDERAL GOIANO;GO;CAMPUS TRINDADE;2016;1911.81995;;20.7;28.9426
INSTITUTO FEDERAL GOIANO;GO;CAMPUS URUTAÍ;2008;4753.17956;230.35825;;34.0612
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS AÇAILÂNDIA;2009;3169.33425;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS ALCÂNTARA;2010;690.80545;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS ARAIOSES;2016;656.3862;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS AVANÇADO PORTO FRANCO;2014;470.22645;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS AVANÇADO ROSÁRIO;2014;495.0818;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS BACABAL;2010;1111.75225;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS BARRA DO CORDA;2010;1767.4464;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS BARREIRINHAS;2010;2760.23065;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS BURITICUPU;2009;2569.4124;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS CAROLINA;2014;292.24578;;;19.4336
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS CAXIAS;2010;3570.48306;723.7067;;154.3966
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS CODÓ;2009;4472.39365;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS COELHO NETO;2013;1364.1431;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS GRAJAÚ;2013;1691.65212;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS IMPERATRIZ;2009;4311.7612;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS ITAPECURU MIRIM;2016;567.4806;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS MIRINZAL;2024;;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS PEDREIRAS;2013;2244.11575;;;123.15255
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS PINHEIRO;2010;1234.47785;;;60.5453
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS PRESIDENTE DUTRA;2020;524.68608;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS SANTA INÊS;2009;3014.16355;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS SÃO JOÃO DOS PATOS;2010;1895.00875;540.99105;;0.636
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS SÃO JOSÉ DE RIBAMAR;2014;1356.4784;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS SÃO LUÍS CENTRO HISTÓRICO;2009;2175.8459;10.6155;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS SÃO LUÍS MARACANÃ;2009;5313.94884;405.61075;;3137.77613
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS SÃO LUÍS MONTE CASTELO;2009;8030.2095;606.96495;;40.78651
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS SÃO RAIMUNDO DAS MANGABEIRAS;2010;3329.45665;338.1978;;252.1562
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS TIMON;2010;2419.65535;;;398.832
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS VIANA;2014;1048.32079;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS VITORINO FREIRE;2024;;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CAMPUS ZÉ DOCA;2009;1541.55895;;;
INSTITUTO FEDERAL DO MARANHAO;MA;CENTRO DE REFERÊNCIA TÉCNOLOGICA;;;;;
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;UNED ARAXÁ;1992;1780.4588;;;
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;UNED CONTAGEM;2015;886.214;;;
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;UNED CURVELO;2010;1141.3139;;;
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;UNED DIVINÓPOLIS;1994;1829.79475;;;15.24263
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;UNED LEOPOLDINA;1987;1619.67021;;;
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;UNED NEPOMUCENO;2006;1045.09335;;;
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;UNED TIMÓTEO;2006;1665.78405;;;
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;UNED VARGINHA;2006;1498.61495;;;
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;UNIDADE BELO HORIZONTE;1909;13286.90072;;;19.795
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS ARCOS;2016;1029.813;4.3158;297.525;320.7608
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS BAMBUÍ;2009;5209.80816;;122.7125;47.9672
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS BETIM;2013;2458.49585;;123.94;127.8
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS CONGONHAS;2009;2643.9658;;38.2625;
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS CONSELHEIRO LAFAIETE;2015;1237.7165;;46.0875;
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS FORMIGA;2009;1319.79051;;74.125;9
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS GOVERNADOR VALADARES;2010;2108.3059;;54.6875;
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS IBIRITÉ;2009;1892.9735;;;
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS IPATINGA;2014;1147.14725;;49.95;40.6117
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS ITABIRITO;2015;1200.57875;;41.1125;
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS OURO BRANCO;2013;2059.13748;;19.0875;6.2044
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS OURO PRETO;2009;4525.78083;;17.1625;8.2
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS PIUMHI;2014;934.69625;;45.375;69.7888
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS PONTE NOVA;2015;693.74215;;44.2725;
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS RIBEIRÃO DAS NEVES;2013;1329.55705;;17.5875;121.43115
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS SABARÁ;2013;1631.3138;;;
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS SANTA LUZIA;2013;2108.27935;;2;60.50005
INSTITUTO FEDERAL DE MINAS GERAIS;MG;CAMPUS SÃO JOÃO EVANGELISTA;2009;3432.20217;;74.845;56.7003
INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS;MG;CAMPUS ALMENARA;2010;2782.69651;;;64.7726
