Instituicao;UF;Campus;AnoCriacaoCampus;MatriculaTotalPresencialEqualizada;MatriculaTotalEadEqualizada;MatriculaTotalEadMoocEqualizada;MatriculaTotalEadFpEqualizada
INSTITUTO FEDERAL DO ACRE;AC;CAMPUS AVANÇADO RIO BRANCO BAIXADA DO SOL;2021;1136.88056;;;
INSTITUTO FEDERAL DO ACRE;AC;CAMPUS CRUZEIRO DO SUL;2010;3249.16479;;;
INSTITUTO FEDERAL DO ACRE;AC;CAMPUS RIO BRANCO;2010;3024.17286;24.9507;;
INSTITUTO FEDERAL DO ACRE;AC;CAMPUS SENA MADUREIRA;2010;1468.44082;;;
INSTITUTO FEDERAL DO ACRE;AC;CAMPUS TARAUACÁ;2013;1778.66342;;;
INSTITUTO FEDERAL DO ACRE;AC;CAMPUS XAPURI;2013;1814.47941;;;0
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS ARAPIRACA;2010;1990.3577;131.3697;;0.75
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS AVANÇADO MACEIÓ BENEDITO BENTES;2016;637.0225;;;1.0224
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS BATALHA;2014;1346.70652;;;0.55
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS CORURIPE;2014;1465.10825;;;
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS MACEIÓ;2013;9657.5641;141.5784;;
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS MARAGOGI;2013;1203.42763;268.79975;;3.1
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS MARECHAL DEODORO;2013;1802.68006;;;
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS MURICI;2015;2415.48449;393.2324;;30.9892
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS PALMEIRA DOS ÍNDIOS;2013;3886.59575;348.755;;
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS PENEDO;2010;1618.50065;413.7044;;19.7081
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS PIRANHAS;2013;3884.27535;254.55915;;
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS RIO LARGO;2014;238.21795;;;
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS SANTANA DO IPANEMA;2013;1861.26769;242.47095;;
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS SÃO MIGUEL DOS CAMPOS;2013;903.86065;;;
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS SATUBA;2013;3519.49206;;;
INSTITUTO FEDERAL DE ALAGOAS;AL;CAMPUS VIÇOSA;2014;506.35225;255.80225;;
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS AVANÇADO BOCA DO ACRE;2018;169.491;;;7.5
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS COARI;2009;1274.82483;0;;
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS EIRUNEPÉ;2016;1444.15827;;;
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS HUMAITÁ;2013;1399.73168;15.75;;
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS IRANDUBA;2018;360.2755;;;
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS ITACOATIARA;2016;1411.83761;4.5579;;17.6972
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS LÁBREA;2010;1363.903;38.9448;;7.5
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS MANACAPURU;2014;628.36075;1.914;47.6125;
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS MANAUS CENTRO;2009;8248.15677;0;;
INSTITUTO FEDERAL DO AMAZONAS;AM;CAMPUS MANAUS DISTRITO INDUSTRIAL;2009;3540.3414;;;
