TipoCurso;EixoTecnologico;Curso;FEC
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;BIOTECNOLOGIA;1.230
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;CONSTRUÇÃO NAVAL;1.230
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;FABRICAÇÃO MECÂNICA;1.000
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;PAPEL E CELULOSE;1.230
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;PETRÓLEO E GÁS;1.230
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;POLÍMEROS;1.230
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;PROCESSOS QUÍMICOS;1.000
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;PRODUÇÃO DE VESTUÁRIO;1.230
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;PRODUÇÃO GRÁFICA;1.230
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;PRODUÇÃO JOALHEIRA;1.230
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;PRODUÇÃO MOVELEIRA;1.230
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;PRODUÇÃO SUCROALCOOLEIRA;1.230
TECNOLOGIA;PRODUÇÃO INDUSTRIAL;PRODUÇÃO TÊXTIL;1.230
TECNOLOGIA;RECURSOS NATURAIS;AGROECOLOGIA;1.003
TECNOLOGIA;RECURSOS NATURAIS;AGRONEGÓCIO;1.020
TECNOLOGIA;RECURSOS NATURAIS;AQUICULTURA;1.000
TECNOLOGIA;RECURSOS NATURAIS;CAFEICULTURA;1.000
TECNOLOGIA;RECURSOS NATURAIS;HORTICULTURA;1.000
TECNOLOGIA;RECURSOS NATURAIS;IRRIGAÇÃO E DRENAGEM;1.200
TECNOLOGIA;RECURSOS NATURAIS;MINERAÇÃO;1.000
TECNOLOGIA;RECURSOS NATURAIS;PRODUÇÃO DE GRÃOS;1.030
TECNOLOGIA;RECURSOS NATURAIS;PRODUÇÃO PESQUEIRA;1.200
TECNOLOGIA;RECURSOS NATURAIS;PRODUÇÃO SUCRO ALCOOLEIRA;1.200
TECNOLOGIA;RECURSOS NATURAIS;ROCHAS ORNAMENTAIS;1.200
TECNOLOGIA;RECURSOS NATURAIS;SILVICULTURA;1.200
TECNOLOGIA;SEGURANÇA;GESTÃO DE SEGURANÇA PRIVADA;1.110
TECNOLOGIA;SEGURANÇA;SEGURANÇA NO TRABALHO;1.049
TECNOLOGIA;SEGURANÇA;SEGURANÇA NO TRÂNSITO;1.110
TECNOLOGIA;SEGURANÇA;SEGURANÇA PÚBLICA;1.000
TECNOLOGIA;SEGURANÇA;SERVIÇOS PENAIS;1.110
TECNOLOGIA;TURISMO, HOSPITALIDADE E LAZER;EVENTOS;1.000
TECNOLOGIA;TURISMO, HOSPITALIDADE E LAZER;GASTRONOMIA;1.000
TECNOLOGIA;TURISMO, HOSPITALIDADE E LAZER;GESTÃO DE TURISMO;1.024
TECNOLOGIA;TURISMO, HOSPITALIDADE E LAZER;GESTÃO DESPORTIVA E DE LAZER;1.000
TECNOLOGIA;TURISMO, HOSPITALIDADE E LAZER;HOTELARIA;1.028
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;ARTES CÊNICAS;1.100
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;ARTES VISUAIS;1.239
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;CIÊNCIAS AGRÁRIAS;1.115
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;CIÊNCIAS BIOLÓGICAS;1.052
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;CIÊNCIAS DA NATUREZA;1.000
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;CIÊNCIAS SOCIAIS;1.127
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;COMPUTAÇÃO;1.000
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;DANÇA;1.137
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;EDUCAÇÃO DO CAMPO;1.000
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;EDUCAÇÃO FÍSICA;1.038
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;FILOSOFIA;1.000
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;FÍSICA;1.039
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;GEOGRAFIA;1.029
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;HISTÓRIA;1.000
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;INFORMÁTICA;1.000
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;INTERCULTURAL INDÍGENA;1.000
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;LETRAS;1.024
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;LETRAS - LÍNGUA ESTRANGEIRA;1.024
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;LETRAS - LÍNGUA PORTUGUESA;1.024
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;LICENCIATURA PARA A EDUCAÇÃO PROFISSIONAL, CIENTÍFICA E TECNOLÓGICA;1.175
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;MATEMÁTICA;1.013
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;MÚSICA;1.107
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;PEDAGOGIA;1.064
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;PROGRAMA ESPECIAL DE FORMAÇÃO PEDAGÓGICA DE DOCENTES;1.120
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;QUÍMICA;1.077
LICENCIATURA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TEATRO;1.079
BACHARELADO;AMBIENTE E SAÚDE;BIOMEDICINA;1.200
BACHARELADO;AMBIENTE E SAÚDE;EDUCAÇÃO FÍSICA;1.249
BACHARELADO;AMBIENTE E SAÚDE;ENFERMAGEM;1.500
BACHARELADO;AMBIENTE E SAÚDE;ENGENHARIA AMBIENTAL;1.025
BACHARELADO;AMBIENTE E SAÚDE;FARMÁCIA;1.150
BACHARELADO;AMBIENTE E SAÚDE;FISIOTERAPIA;1.200
BACHARELADO;AMBIENTE E SAÚDE;FONOAUDIOLOGIA;1.200
BACHARELADO;AMBIENTE E SAÚDE;GESTÃO AMBIENTAL;1.100
BACHARELADO;AMBIENTE E SAÚDE;MEDICINA;1.300
BACHARELADO;AMBIENTE E SAÚDE;METEOROLOGIA;1.200
BACHARELADO;AMBIENTE E SAÚDE;NUTRIÇÃO;1.251
BACHARELADO;AMBIENTE E SAÚDE;ODONTOLOGIA;1.300
BACHARELADO;AMBIENTE E SAÚDE;PSICOLOGIA;1.000
BACHARELADO;AMBIENTE E SAÚDE;TERAPIA OCUPACIONAL;1.000
BACHARELADO;CONTROLE E PROCESSOS INDUSTRIAIS;CIÊNCIAS AERONÁUTICAS;1.230
BACHARELADO;CONTROLE E PROCESSOS INDUSTRIAIS;ENGENHARIA AERONÁUTICA;1.230
BACHARELADO;CONTROLE E PROCESSOS INDUSTRIAIS;ENGENHARIA DE AUTOMAÇÃO INDUSTRIAL;1.160
BACHARELADO;CONTROLE E PROCESSOS INDUSTRIAIS;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;1.289
BACHARELADO;CONTROLE E PROCESSOS INDUSTRIAIS;ENGENHARIA DE MATERIAIS;1.137
BACHARELADO;CONTROLE E PROCESSOS INDUSTRIAIS;ENGENHARIA DE PRODUÇÃO;1.028
BACHARELADO;CONTROLE E PROCESSOS INDUSTRIAIS;ENGENHARIA ELÉTRICA;1.108
BACHARELADO;CONTROLE E PROCESSOS INDUSTRIAIS;ENGENHARIA ELETRÔNICA;1.108
BACHARELADO;CONTROLE E PROCESSOS INDUSTRIAIS;ENGENHARIA MECÂNICA;1.078
BACHARELADO;CONTROLE E PROCESSOS INDUSTRIAIS;ENGENHARIA MECATRÔNICA;1.178
BACHARELADO;CONTROLE E PROCESSOS INDUSTRIAIS;ENGENHARIA METALÚRGICA;1.033
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;ARQUEOLOGIA;1.100
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;ARQUIVOLOGIA;1.000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;ARTES VISUAIS;1.100
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;BIBLIOTECONOMIA;1.000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;CIÊNCIAS SOCIAIS;1.000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;DANÇA;1.200
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;ESTATÍSTICA;1.000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;FILOSOFIA;1.000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;FÍSICA;1.034
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;GEOGRAFIA;1.100
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;HISTÓRIA;1.000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;LETRAS;1.000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;LETRAS - LÍNGUA ESTRANGEIRA;1.000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;LETRAS - LÍNGUA PORTUGUESA;1.000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;MATEMÁTICA;1.000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;MUSEOLOGIA;1.000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;MÚSICA;1.100
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;RELAÇÕES PÚBLICAS;1.000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;SERVIÇO SOCIAL;1.500
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TEATRO;1.100
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TEOLOGIA;1.000
BACHARELADO;GESTÃO E NEGÓCIOS;ADMINISTRAÇÃO;1.001
BACHARELADO;GESTÃO E NEGÓCIOS;CIÊNCIAS ATUARIAIS;1.000
BACHARELADO;GESTÃO E NEGÓCIOS;CIÊNCIAS CONTÁBEIS;1.000
BACHARELADO;GESTÃO E NEGÓCIOS;CIÊNCIAS ECONÔMICAS;1.000
BACHARELADO;GESTÃO E NEGÓCIOS;DIREITO;1.187
BACHARELADO;GESTÃO E NEGÓCIOS;LÍNGUAS ESTRANGEIRAS APLICADAS A NEGOCIAÇÕES INTERNACIONAIS;1.111
BACHARELADO;GESTÃO E NEGÓCIOS;RELAÇÕES INTERNACIONAIS;1.000
BACHARELADO;GESTÃO E NEGÓCIOS;SECRETARIADO EXECUTIVO;1.000
BACHARELADO;INFORMAÇÃO E COMUNICAÇÃO;CIÊNCIA DA COMPUTAÇÃO;1.081
BACHARELADO;INFORMAÇÃO E COMUNICAÇÃO;ENGENHARIA DE COMPUTAÇÃO;1.237
BACHARELADO;INFORMAÇÃO E COMUNICAÇÃO;ENGENHARIA DE SOFTWARE;1.000
BACHARELADO;INFORMAÇÃO E COMUNICAÇÃO;ENGENHARIA DE TELECOMUNICAÇÕES;1.187
BACHARELADO;INFORMAÇÃO E COMUNICAÇÃO;INFORMÁTICA;1.100
BACHARELADO;INFORMAÇÃO E COMUNICAÇÃO;JORNALISMO;1.000
BACHARELADO;INFORMAÇÃO E COMUNICAÇÃO;RADIO, TV E INTERNET;1.100
BACHARELADO;INFORMAÇÃO E COMUNICAÇÃO;SISTEMAS DE INFORMAÇÃO;1.008
BACHARELADO;INFRAESTRUTURA;ARQUITETURA E URBANISMO;1.071
BACHARELADO;INFRAESTRUTURA;ENGENHARIA CIVIL;1.085
BACHARELADO;INFRAESTRUTURA;ENGENHARIA DE AGRIMENSURA E CARTOGRÁFICA;1.117
BACHARELADO;INFRAESTRUTURA;ENGENHARIA DE PRODUÇÃO CIVIL;1.085
BACHARELADO;INFRAESTRUTURA;ENGENHARIA DE TRANSPORTES;1.211
BACHARELADO;PRODUÇÃO ALIMENTÍCIA;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;1.076
BACHARELADO;PRODUÇÃO ALIMENTÍCIA;ENGENHARIA DE ALIMENTOS;1.013
BACHARELADO;PRODUÇÃO CULTURAL E DESIGN;CINEMA E AUDIOVISUAL;1.269
BACHARELADO;PRODUÇÃO CULTURAL E DESIGN;DESIGN;1.500
BACHARELADO;PRODUÇÃO CULTURAL E DESIGN;PRODUÇÃO CULTURAL;1.000
BACHARELADO;PRODUÇÃO CULTURAL E DESIGN;PUBLICIDADE E PROPAGANDA;1.100
BACHARELADO;PRODUÇÃO INDUSTRIAL;BIOTECNOLOGIA;1.000
BACHARELADO;PRODUÇÃO INDUSTRIAL;ENGENHARIA DE BIOPROCESSOS;1.230
BACHARELADO;PRODUÇÃO INDUSTRIAL;ENGENHARIA DE PETRÓLEO;1.230
BACHARELADO;PRODUÇÃO INDUSTRIAL;ENGENHARIA NAVAL;1.230
BACHARELADO;PRODUÇÃO INDUSTRIAL;ENGENHARIA QUÍMICA;1.111
BACHARELADO;PRODUÇÃO INDUSTRIAL;ENGENHARIA TÊXTIL;1.230
BACHARELADO;PRODUÇÃO INDUSTRIAL;QUÍMICA;1.318
BACHARELADO;RECURSOS NATURAIS;AGROECOLOGIA;1.022
BACHARELADO;RECURSOS NATURAIS;AGRONOMIA;1.061
BACHARELADO;RECURSOS NATURAIS;CIÊNCIAS BIOLÓGICAS;1.026
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA AGRÍCOLA;1.000
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA AGRONÔMICA;1.052
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA DE AQUICULTURA;1.000
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA DE ENERGIAS RENOVÁVEIS;1.137
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA DE MINAS;1.137
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA DE PESCA;1.000
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA FLORESTAL;1.035
BACHARELADO;RECURSOS NATURAIS;GEOLOGIA;1.037
BACHARELADO;RECURSOS NATURAIS;MEDICINA VETERINÁRIA;1.037
BACHARELADO;RECURSOS NATURAIS;ZOOTECNIA;1.045
BACHARELADO;TURISMO, HOSPITALIDADE E LAZER;TURISMO;1.069
APERFEIÇOAMENTO TECNOLÓGICO;"""TODOS""";"""TODOS""";1.000
ESPECIALIZAÇÃO (LATO SENSU/PROFISSIONAL TECNOLÓGICA);"""TODOS""";"""TODOS""";1.000
MESTRADO (ACADÊMICO/PROFISSIONAL);"""TODOS""";"""TODOS""";1.000
DOUTORADO (ACADÊMICO/PROFISSIONAL);"""TODOS""";"""TODOS""";1.000
