Sigla;Instituicao;UF;RAPP
IFAC;INSTITUTO FEDERAL DO ACRE;AC;15.91
IFAL;INSTITUTO FEDERAL DE ALAGOAS;AL;19.13
IFAM;INSTITUTO FEDERAL DO AMAZONAS;AM;23.28
IFAP;INSTITUTO FEDERAL DO AMAPA;AP;20.38
IFBA;INSTITUTO FEDERAL BAIANO;BA;14.98
IF BAIANO;INSTITUTO FEDERAL DA BAHIA;BA;18.48
IFCE;INSTITUTO FEDERAL DO CEARA;CE;24.2
IFB;INSTITUTO FEDERAL DE BRASILIA;DF;25.18
IFES;INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;18.04
IFG;INSTITUTO FEDERAL DE GOIAS;GO;15.2
IF GOIANO;INSTITUTO FEDERAL GOIANO;GO;23.79
IFMA;INSTITUTO FEDERAL DO MARANHAO;MA;22.17
CEFET-MG;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;20.46
IFMG;INSTITUTO FEDERAL DE MINAS GERAIS;MG;22.22
IFNMG;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS;MG;20.96
IF SUDESTE MG;INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS;MG;22.7
IFSULDEMINAS;INSTITUTO FEDERAL DO SUL MINAS GERAIS;MG;21.67
IFTM;INSTITUTO FEDERAL DO TRIANGULO MINEIRO;MG;20.61
IFMS;INSTITUTO FEDERAL DE MATO GROSSO DO SUL;MS;22.94
IFMT;INSTITUTO FEDERAL DE MATO GROSSO;MT;23.72
IFPA;INSTITUTO FEDERAL DO PARÁ;PA;20.53
IFPB;INSTITUTO FEDERAL DA PARAIBA;PB;24.88
IFSERTAOPB;INSTITUTO FEDERAL DO SERTAO PARAIBANO;PB;24.45
IFPE;INSTITUTO FEDERAL DE PERNAMBUCO;PE;21.06
IF SERTÃO-PE;INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO;PE;22.97
IFPI;INSTITUTO FEDERAL DO PIAUI;PI;21.5
IFPR;INSTITUTO FEDERAL DO PARANA;PR;18.64
CEFET-RJ;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;RJ;21.82
CPII;COLEGIO PEDRO II;RJ;16.36
IFF;INSTITUTO FEDERAL DO RIO DE JANEIRO;RJ;18.52
IFRJ;INSTITUTO FEDERAL FLUMINENSE;RJ;21.82
IFRN;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE;RN;23.36
IFRO;INSTITUTO FEDERAL DE RONDONIA;RO;20.45
IFRR;INSTITUTO FEDERAL DE RORAIMA;RR;13.56
IF FARROUPILHA;INSTITUTO FEDERAL DO RIO GRANDE DO SUL;RS;22.74
IFRS;INSTITUTO FEDERAL FARROUPILHA;RS;17.11
IFSUL;INSTITUTO FEDERAL SUL-RIO-GRANDENSE;RS;18.54
IFC;INSTITUTO FEDERAL CATARINENSE;SC;19.45
IFSC;INSTITUTO FEDERAL DE SANTA CATARINA;SC;24.11
IFS;INSTITUTO FEDERAL DE SERGIPE;SE;17.08
IFSP;INSTITUTO FEDERAL DE SAO PAULO;SP;21.61
IFTO;INSTITUTO FEDERAL DE TOCANTINS;TO;21.89
