TipoCurso;EixoTecnologico;Curso;FEC;CHMR
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;MUSICA;1.1;2800
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;RELACOES PUBLICAS;1;2700
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;SERVICO SOCIAL;1;3000
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TEATRO;1.1;2400
BACHARELADO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;TEOLOGIA;1;2400
BACHARELADO;GESTAO E NEGOCIOS;ADMINISTRACAO;1;3000
BACHARELADO;GESTAO E NEGOCIOS;CIENCIAS ATUARIAIS;1;3000
BACHARELADO;GESTAO E NEGOCIOS;CIENCIAS CONTABEIS;1;3000
BACHARELADO;GESTAO E NEGOCIOS;CIENCIAS ECONOMICAS;1;3000
BACHARELADO;GESTAO E NEGOCIOS;DIREITO;1;3700
BACHARELADO;GESTAO E NEGOCIOS;RELACOES INTERNACIONAIS;1;3000
BACHARELADO;GESTAO E NEGOCIOS;SECRETARIADO EXECUTIVO;1;2400
BACHARELADO;INFORMACAO E COMUNICACAO;CIENCIA DA COMPUTACAO;1.1;3000
BACHARELADO;INFORMACAO E COMUNICACAO;ENGENHARIA DE COMPUTACAO;1.06;3600
BACHARELADO;INFORMACAO E COMUNICACAO;ENGENHARIA DE TELECOMUNICACOES;1.19;3600
BACHARELADO;INFORMACAO E COMUNICACAO;INFORMATICA;1.1;3000
BACHARELADO;INFORMACAO E COMUNICACAO;JORNALISMO;1;2700
BACHARELADO;INFORMACAO E COMUNICACAO;RADIO, TV E INTERNET;1.1;2700
BACHARELADO;INFORMACAO E COMUNICACAO;SISTEMAS DE INFORMACAO;1.21;3000
BACHARELADO;INFRAESTRUTURA;ARQUITETURA E URBANISMO;1.2;3600
BACHARELADO;INFRAESTRUTURA;ENGENHARIA CIVIL;1.14;3600
BACHARELADO;INFRAESTRUTURA;ENGENHARIA DE AGRIMENSURA E CARTOGRAFICA;1.15;3600
BACHARELADO;INFRAESTRUTURA;ENGENHARIA DE PRODUCAO CIVIL;1.14;3600
BACHARELADO;INFRAESTRUTURA;ENGENHARIA DE TRANSPORTES;1;3600
BACHARELADO;PRODUCAO ALIMENTICIA;CIENCIA E TECNOLOGIA DE ALIMENTOS;1.15;2400
BACHARELADO;PRODUCAO ALIMENTICIA;ENGENHARIA DE ALIMENTOS;1.06;3200
BACHARELADO;PRODUCAO CULTURAL E DESIGN;CINEMA E AUDIOVISUAL;1.1;2400
BACHARELADO;PRODUCAO CULTURAL E DESIGN;DESIGN;1.05;2400
BACHARELADO;PRODUCAO CULTURAL E DESIGN;PRODUCAO CULTURAL;1;2400
BACHARELADO;PRODUCAO CULTURAL E DESIGN;PUBLICIDADE E PROPAGANDA;1.1;2700
BACHARELADO;PRODUCAO INDUSTRIAL;ENGENHARIA DE BIOPROCESSOS;1.23;3600
BACHARELADO;PRODUCAO INDUSTRIAL;ENGENHARIA DE PETROLEO;1.23;3600
BACHARELADO;PRODUCAO INDUSTRIAL;ENGENHARIA NAVAL;1.23;3600
BACHARELADO;PRODUCAO INDUSTRIAL;ENGENHARIA QUIMICA;1.14;3600
BACHARELADO;PRODUCAO INDUSTRIAL;ENGENHARIA TEXTIL;1.23;3600
BACHARELADO;PRODUCAO INDUSTRIAL;QUIMICA;1.13;2400
BACHARELADO;RECURSOS NATURAIS;AGRONOMIA;1.15;3600
BACHARELADO;RECURSOS NATURAIS;CIENCIAS BIOLOGICAS;1.1;2400
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA AGRICOLA;1.15;3600
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA AGRONOMICA;1.15;3600
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA DE AQUICULTURA;1.16;3600
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA DE MINAS;1.16;3600
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA DE PESCA;1.16;3600
BACHARELADO;RECURSOS NATURAIS;ENGENHARIA FLORESTAL;1.15;3600
BACHARELADO;RECURSOS NATURAIS;GEOLOGIA;1.2;2400
BACHARELADO;RECURSOS NATURAIS;MEDICINA VETERINARIA;1.21;4000
BACHARELADO;RECURSOS NATURAIS;ZOOTECNIA;1.1;3600
BACHARELADO;TURISMO, HOSPITALIDADE E LAZER;TURISMO;1;2400
ESPECIALIZACAO (LATO SENSU);TODOS;TODOS;1;360
MESTRADO;TODOS;TODOS;1;360
MESTRADO PROFISSIONAL;TODOS;TODOS;1;360
DOUTORADO;TODOS;TODOS;1;460
DOUTORADO PROFISSIONAL;TODOS;TODOS;1;460
