Instituicao;UF;Custeio2026Oficial;Assistencia2026Oficial;Total2026Oficial;Custeio2026BaseOficial;Assistencia2026BaseOficial
INSTITUTO FEDERAL DO ACRE;AC;22373321.7094177;4764571;27137892.7094177;22373321.7094176;4723712.59421062
INSTITUTO FEDERAL DE ALAGOAS;AL;60796393.430762;14477708.2116035;75274101.6423655;60796393.430762;14477708.2116035
INSTITUTO FEDERAL DO AMAZONAS;AM;61911289.4105461;16166141.3357034;78077430.7462495;61911289.4105461;16166141.3357034
INSTITUTO FEDERAL DO AMAPA;AP;23345037.7354958;5381371.9149835;28726409.6504793;23345037.7354958;5381371.9149835
INSTITUTO FEDERAL BAIANO;BA;59075358.1887002;15005206;74080564.1887002;59075358.1887002;14829457.4598843
INSTITUTO FEDERAL DA BAHIA;BA;74191374.178102;21137681;95329055.178102;64276060.9900844;18096803.8754084
INSTITUTO FEDERAL DO CEARA;CE;105802885.239716;32469153;138272038.239716;105802885.239716;31449578.0785443
INSTITUTO FEDERAL DE BRASILIA;DF;41256454.0981296;9470727;50727181.0981296;41256454.0981296;9281210.74036942
INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;77902349.971428;22083822;99986171.971428;77544458.4948549;17851703.1643814
INSTITUTO FEDERAL DE GOIAS;GO;46038373.583645;11620521;57658894.583645;42175933.240649;9800506.2692662
INSTITUTO FEDERAL GOIANO;GO;52657711.970162;13981747;66639458.970162;47916711.3444599;11983858.4637737
INSTITUTO FEDERAL DO MARANHAO;MA;105001046.422688;32340397.5576129;137341443.980301;105001046.422688;32340397.5576129
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;50530583.968739;9911647.35812053;60442231.3268595;40910162.7917477;9911647.35812053
INSTITUTO FEDERAL DE MINAS GERAIS;MG;56217340.1784787;15975434;72192774.1784787;56217340.1784787;15225183.4541289
INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS;MG;45716985.8418921;14043348;59760333.8418921;45716985.8418921;12828322.0115369
INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS;MG;39865778.181601;8786666;48652444.181601;33666471.2848044;8724853.26991024
INSTITUTO FEDERAL DO SUL MINAS GERAIS;MG;60748307.5126312;15646800;76395107.5126312;60748307.5126311;15163531.7820162
INSTITUTO FEDERAL DO TRIANGULO MINEIRO;MG;32846076.967949;7114009;39960085.967949;31563202.4802803;4648464.65901023
INSTITUTO FEDERAL DE MATO GROSSO DO SUL;MS;41526051.3175534;8629142.08855076;50155193.4061042;41526051.3175534;8629142.08855076
INSTITUTO FEDERAL DE MATO GROSSO;MT;71689509.3850284;23282869;94972378.3850284;71689509.3850284;21714677.8645791
INSTITUTO FEDERAL DO PARÁ;PA;72294555.2152773;20728836.0144035;93023391.2296808;72294555.2152773;20728836.0144035
INSTITUTO FEDERAL DA PARAIBA;PB;72788852.1190133;24544770.2346001;97333622.3536134;72788852.1190133;24544770.2346001
INSTITUTO FEDERAL DE PERNAMBUCO;PE;64162032.075922;17658824;81820856.075922;58172787.9086718;17098611.5267673
INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO;PE;30551744.5898564;7593645.19400003;38145389.7838564;30551744.5898564;7593645.19400003
INSTITUTO FEDERAL DO PIAUI;PI;74623986.3471519;24299546.6840501;98923533.0312019;74623986.3471518;24299546.68405
INSTITUTO FEDERAL DO PARANA;PR;63097082.505044;15011937.3095188;78109019.8145628;60948394.7824355;15011937.3095188
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;RJ;41611862.9599488;10616148.9669639;52228011.9269127;41611862.9599488;10616148.9669638
COLEGIO PEDRO II;RJ;55765666.677067;10385135;66150801.677067;42459617.5692042;7931152.44774744
INSTITUTO FEDERAL DO RIO DE JANEIRO;RJ;44523633.544582;9735674;54259307.544582;44304345.2899525;9171923.69543922
INSTITUTO FEDERAL FLUMINENSE;RJ;52729496.720201;13493220;66222716.720201;49611115.0991451;13040129.5879934
INSTITUTO FEDERAL DO RIO GRANDE DO NORTE;RN;75702477.372312;24823359.4427926;100525836.815105;74490278.6196024;24823359.4427926
INSTITUTO FEDERAL DE RONDONIA;RO;42886023.2839546;11656522.0729773;54542545.3569318;42886023.2839546;11656522.0729773
INSTITUTO FEDERAL DE RORAIMA;RR;19114485.594366;5217681;24332166.594366;16752157.7656901;5001017.33874456
INSTITUTO FEDERAL DO RIO GRANDE DO SUL;RS;76311256.293092;15287339;91598595.293092;76311256.293092;15125295.5539794
INSTITUTO FEDERAL FARROUPILHA;RS;41093145.036812;13986823;55079968.036812;39008576.4307231;13806524.1828783
INSTITUTO FEDERAL SUL-RIO-GRANDENSE;RS;50349046.025601;13495143.1198902;63844189.1454912;48352421.9529622;13495143.1198902
INSTITUTO FEDERAL CATARINENSE;SC;55924364.821338;15468660;71393024.821338;51096621.5763353;13337707.5690811
INSTITUTO FEDERAL DE SANTA CATARINA;SC;70770937.3825672;18265600;89036537.3825672;70770937.3825672;17712356.4547038
INSTITUTO FEDERAL DE SERGIPE;SE;32594767.2919888;7381985;39976752.2919888;32594767.2919888;7106699.22134488
INSTITUTO FEDERAL DE SAO PAULO;SP;117976611.582234;31721803;149698414.582234;117976611.582234;30761113.1033839
INSTITUTO FEDERAL DE TOCANTINS;TO;43220637.1509012;11151145.3280284;54371782.4789296;43220637.1509012;11151145.3280284
