Sigla;Instituicao;UF;ConclusaoCiclo;EvasaoCiclo;RetencaoCiclo;EficienciaAcademica
IFAC;INSTITUTO FEDERAL DO ACRE;AC;0.34108076699593;0.47937245787333;0.17954677513074;0.4157223796034
IFAL;INSTITUTO FEDERAL DE ALAGOAS;AL;0.49131513647643;0.40865384615385;0.10003101736973;0.54592452179907
IFAM;INSTITUTO FEDERAL DO AMAZONAS;AM;0.4076050700467;0.30820547031354;0.28418945963976;0.56943150046598
IFAP;INSTITUTO FEDERAL DO AMAPA;AP;0.37428896473265;0.46814562002275;0.1575654152446;0.4442943956786
IFBAIANO;INSTITUTO FEDERAL BAIANO;BA;0.31397306397306;0.53703703703704;0.1489898989899;0.36894164193867
IFBA;INSTITUTO FEDERAL DA BAHIA;BA;0.26701701701702;0.45645645645646;0.27652652652653;0.36907644413698
IFCE;INSTITUTO FEDERAL DO CEARA;CE;0.28159538683325;0.54156655454109;0.17683805862566;0.3420899007589
IFB;INSTITUTO FEDERAL DE BRASILIA;DF;0.25978890023834;0.59550561797753;0.14470548178413;0.30374203821656
IFES;INSTITUTO FEDERAL DO ESPIRITO SANTO;ES;0.4618070400456;0.47962092062135;0.058572039333048;0.49053890402664
IFG;INSTITUTO FEDERAL DE GOIAS;GO;0.30116606353036;0.53437876960193;0.16445516686771;0.3604427333975
IFGOIANO;INSTITUTO FEDERAL GOIANO;GO;0.32934266997967;0.42014908515925;0.25050824486108;0.43942133815552
IFMA;INSTITUTO FEDERAL DO MARANHAO;MA;0.35869996036465;0.33719778042013;0.30410225921522;0.51544923821729
CEFET-MG;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;MG;0.41668754698071;0.38311200200451;0.20020045101478;0.52098997493734
IFMG;INSTITUTO FEDERAL DE MINAS GERAIS;MG;0.39455906518167;0.45919298886252;0.14624794595582;0.46214713430282
IFNMG;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS;MG;0.35580389329488;0.4689978370584;0.17519826964672;0.43138111888112
IFSUDESTE-MG;INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS;MG;0.39431704885344;0.40428713858425;0.20139581256231;0.49375780274657
IFSULDEMINAS;INSTITUTO FEDERAL DO SUL MINAS GERAIS;MG;0.48737056793222;0.33817069344211;0.17445873862567;0.59036488027366
IFTM;INSTITUTO FEDERAL DO TRIANGULO MINEIRO;MG;0.45251572327044;0.43270440251572;0.11477987421384;0.51119005328597
IFMS;INSTITUTO FEDERAL DE MATO GROSSO DO SUL;MS;0.35553021664766;0.46773090079818;0.17673888255416;0.43185595567867
IFMT;INSTITUTO FEDERAL DE MATO GROSSO;MT;0.40630615912433;0.43505963077928;0.15863421009639;0.48291262135922
IFPA;INSTITUTO FEDERAL DO PARÁ;PA;0.41124837451235;0.47090377113134;0.11784785435631;0.46618758061544
IFPB;INSTITUTO FEDERAL DA PARAIBA;PB;0.34888516561413;0.49284701636809;0.15826781801779;0.41448476496708
IFPE;INSTITUTO FEDERAL DE PERNAMBUCO;PE;0.28313005344662;0.56667123475401;0.15019871179937;0.33317206902113
IFSERTAO-PE;INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO;PE;0.33645096056623;0.55055611729019;0.11299292214358;0.37931034482759
IFPI;INSTITUTO FEDERAL DO PIAUI;PI;0.45055739058629;0.49360033030553;0.055842279108175;0.47720564119383
IFPR;INSTITUTO FEDERAL DO PARANA;PR;0.34802701741913;0.45538570920725;0.19658727337362;0.43318584070796
CEFET-RJ;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;RJ;0.20417570498915;0.38394793926247;0.41187635574837;0.34716459197787
CPII;COLEGIO PEDRO II;RJ;0.62188515709642;0.19257854821235;0.18553629469122;0.76355171267044
IFRJ;INSTITUTO FEDERAL DO RIO DE JANEIRO;RJ;0.38383167220377;0.33842746400886;0.27774086378738;0.53143207605029
IFF;INSTITUTO FEDERAL FLUMINENSE;RJ;0.33163152053274;0.48834628190899;0.18002219755827;0.40443963183541
IFRN;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE;RN;0.39009221531203;0.48091357495175;0.12899420973622;0.44786408962206
IFRO;INSTITUTO FEDERAL DE RONDONIA;RO;0.44811771450411;0.41792470858016;0.13395757691573;0.51743159752868
IFRR;INSTITUTO FEDERAL DE RORAIMA;RR;0.5859987929994;0.37537718768859;0.03862401931201;0.60954174513497
IFRS;INSTITUTO FEDERAL DO RIO GRANDE DO SUL;RS;0.35854575846218;0.40931884663602;0.2321353949018;0.4669387755102
IFFARROUPILHA;INSTITUTO FEDERAL FARROUPILHA;RS;0.3852970795569;0.5460221550856;0.068680765357503;0.41371107266436
IFSUL;INSTITUTO FEDERAL SUL-RIO-GRANDENSE;RS;0.3984406237505;0.49880047980808;0.10275889644142;0.44407308377897
IFC;INSTITUTO FEDERAL CATARINENSE;SC;0.38136020151134;0.48060453400504;0.13803526448363;0.44243132670953
IFSC;INSTITUTO FEDERAL DE SANTA CATARINA;SC;0.31140231140231;0.55164255164255;0.13695513695514;0.36081822016027
IFS;INSTITUTO FEDERAL DE SERGIPE;SE;0.35800508259212;0.55908513341804;0.082909783989835;0.39037062694839
IFSP;INSTITUTO FEDERAL DE SAO PAULO;SP;0.39302094954754;0.49460766084046;0.112371389612;0.44277634243419
IFTO;INSTITUTO FEDERAL DE TOCANTINS;TO;0.46760744066709;0.42356211246526;0.10883044686765;0.52471209213052
